dates,link,session_title,subscript,voting_id,voting_number,voting_title
17 listopada 2011 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,25.html","Posiedzenie: 2. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o podjęcie uchwały,25,1,"Powołanie Komisji Regulaminowej, Etyki i Spraw Senatorskich."
17 listopada 2011 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,24.html","Posiedzenie: 2. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o podjęcie uchwały,24,2,Powołanie stałych komisji senackich.
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,2.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie ustawy bez poprawek,2,1,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień",Poprawka 1,1,2,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień","Poprawka 2, 5",4,3,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,5.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień",Poprawka 3,5,4,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,6.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień",Poprawka 4,6,5,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień",Poprawka 6,7,6,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień",Poprawka 7,8,7,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,23.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 3 dzień",Wniosek o odrzucenie ustawy,23,22,Ustawa o zmianie ustawy o systemie ubezpieczeń społecznych
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,22.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 3 dzień",Wniosek o przyjęcie ustawy bez poprawek,22,23,Ustawa o zmianie ustawy o systemie ubezpieczeń społecznych
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,9.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień",Poprawka 9,9,8,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,10.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień",Przyjęcie ustawy wraz z poprawkami,10,9,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,11.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie ustawy bez poprawek,11,10,Ustawa zmieniająca ustawę o zmianie ustawy o ochronie przeciwpożarowej oraz niektórych innych ustaw
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,12.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie ustawy bez poprawek,12,11,Ustawa o zmianie ustawy o ewidencji ludności
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,13.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie ustawy bez poprawek,13,12,Ustawa o zmianie ustawy o wspieraniu rodziny i systemie pieczy zastępczej
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,3.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie projektu,3,13,Drugie czytanie projektu uchwały w sprawie utworzenia Polskiej Grupy Unii Międzyparlamentarnej.
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,15.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 1,15,14,Drugie czytanie projektu uchwały w 30. rocznicę wprowadzenia stanu wojennego
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,16.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 2,16,15,Drugie czytanie projektu uchwały w 30. rocznicę wprowadzenia stanu wojennego
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,17.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 4,17,16,Drugie czytanie projektu uchwały w 30. rocznicę wprowadzenia stanu wojennego
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,18.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 5,18,17,Drugie czytanie projektu uchwały w 30. rocznicę wprowadzenia stanu wojennego
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,19.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 6,19,18,Drugie czytanie projektu uchwały w 30. rocznicę wprowadzenia stanu wojennego
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,20.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 7,20,19,Drugie czytanie projektu uchwały w 30. rocznicę wprowadzenia stanu wojennego
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,21.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 2 dzień",Przyjęcie projektu wraz z poprawkami,21,20,Drugie czytanie projektu uchwały w 30. rocznicę wprowadzenia stanu wojennego
"20, 21 i 22 grudnia 2011 r.","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,14.html","Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 2 dzień",Wniosek o podjęcie uchwały,14,21,Zmiany w składzie komisji senackich
19 stycznia 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,26.html","Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",NA,26,1,Wniosek formalny
19 stycznia 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,28.html","Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o odrzucenie ustawy,28,2,Ustawa o składkach na ubezpieczenie zdrowotne rolników za 2012 r.
19 stycznia 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,29.html","Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie ustawy bez poprawek,29,3,Ustawa o składkach na ubezpieczenie zdrowotne rolników za 2012 r.
19 stycznia 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,30.html","Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie ustawy bez poprawek,30,4,"Ustawa o zmianie ustawy o refundacji leków, środków spożywczych specjalnego przeznaczenia żywieniowego oraz wyrobów medycznych oraz niektórych innych ustaw"
19 stycznia 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,31.html","Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie ustawy bez poprawek,31,5,Ustawa o zmianie ustawy o emeryturach i rentach z Funduszu Ubezpieczeń Społecznych oraz niektórych innych ustaw
19 stycznia 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,32.html","Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",Poprawka 1,32,6,"Ustawa o zmianie ustawy o ostateczności rozrachunku w systemach płatności i systemach rozrachunku papierów wartościowych oraz zasadach nadzoru nad tymi systemami, ustawy o niektórych zabezpieczeniach finansowych oraz ustawy – Prawo upadłościowe i naprawcze"
19 stycznia 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,33.html","Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień","Poprawka 2, 4",33,7,"Ustawa o zmianie ustawy o ostateczności rozrachunku w systemach płatności i systemach rozrachunku papierów wartościowych oraz zasadach nadzoru nad tymi systemami, ustawy o niektórych zabezpieczeniach finansowych oraz ustawy – Prawo upadłościowe i naprawcze"
19 stycznia 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,34.html","Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",Poprawka 3,34,8,"Ustawa o zmianie ustawy o ostateczności rozrachunku w systemach płatności i systemach rozrachunku papierów wartościowych oraz zasadach nadzoru nad tymi systemami, ustawy o niektórych zabezpieczeniach finansowych oraz ustawy – Prawo upadłościowe i naprawcze"
19 stycznia 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,35.html","Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",Poprawka 5,35,9,"Ustawa o zmianie ustawy o ostateczności rozrachunku w systemach płatności i systemach rozrachunku papierów wartościowych oraz zasadach nadzoru nad tymi systemami, ustawy o niektórych zabezpieczeniach finansowych oraz ustawy – Prawo upadłościowe i naprawcze"
19 stycznia 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,36.html","Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",Przyjęcie ustawy wraz z poprawkami,36,10,"Ustawa o zmianie ustawy o ostateczności rozrachunku w systemach płatności i systemach rozrachunku papierów wartościowych oraz zasadach nadzoru nad tymi systemami, ustawy o niektórych zabezpieczeniach finansowych oraz ustawy – Prawo upadłościowe i naprawcze"
19 stycznia 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,27.html","Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie ustawy bez poprawek,27,11,Ustawa o zmianie ustawy o kierujących pojazdami oraz ustawy – Prawo o ruchu drogowym
1 i 2 lutego 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,37.html","Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie projektu,37,1,Drugie czytanie projektu uchwały w sprawie ustanowienia roku 2012 Rokiem Uniwersytetów Trzeciego Wieku.
1 i 2 lutego 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,38.html","Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie projektu,38,2,Drugie czytanie projektu uchwały w sprawie uczczenia setnej rocznicy śmierci Błogosławionego Księdza Bronisława Markiewicza.
1 i 2 lutego 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,40.html","Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie ustawy bez poprawek,40,3,Ustawa zmieniająca ustawę o zmianie ustawy o systemie oświaty oraz o zmianie niektórych innych ustaw
1 i 2 lutego 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,41.html","Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie ustawy bez poprawek,41,4,"Ustawa o ratyfikacji Umowy o wolnym handlu między Unią Europejską i jej państwami członkowskimi, z jednej strony, a Republiką Korei, z drugiej strony, sporządzonej w Brukseli dnia 6 października 2010 r."
1 i 2 lutego 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,39.html","Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie ustawy bez poprawek,39,5,Ustawa o zmianie ustawy o płatnościach w ramach systemów wsparcia bezpośredniego oraz niektórych innych ustaw.
1 i 2 lutego 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,43.html","Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 1,43,6,Uchwała ogłaszająca maj 2012 r. Miesiącem Rozgłośni Polskiej Radia Wolna Europa
1 i 2 lutego 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,44.html","Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 2,44,7,Uchwała ogłaszająca maj 2012 r. Miesiącem Rozgłośni Polskiej Radia Wolna Europa
1 i 2 lutego 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,42.html","Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 2 dzień",Przyjęcie projektu wraz z poprawkami,42,8,Uchwała ogłaszająca maj 2012 r. Miesiącem Rozgłośni Polskiej Radia Wolna Europa
14 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,240.html","Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o podjęcie uchwały,240,1,Zmiany w składzie komisji senackich
14 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,241.html","Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie ustawy bez poprawek,241,2,Ustawa o podatku od wydobycia niektórych kopalin
14 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,242.html","Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o odrzucenie ustawy,242,3,Ustawa o zmianie ustawy o dochodach jednostek samorządu terytorialnego
14 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,243.html","Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie ustawy bez poprawek,243,4,Ustawa o zmianie ustawy o dochodach jednostek samorządu terytorialnego
14 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,244.html","Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",Wniosek o przyjęcie projektu,244,5,Drugie czytanie projektu ustawy o zmianie ustawy o Policji oraz niektórych innych ustaw
14 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,245.html","Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień","Poprawki 1, 3",245,6,Drugie czytanie projektu ustawy o zmianie ustawy – Kodeks postępowania karnego oraz niektórych innych ustaw
14 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,246.html","Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",Poprawka 2,246,7,Drugie czytanie projektu ustawy o zmianie ustawy – Kodeks postępowania karnego oraz niektórych innych ustaw
14 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,247.html","Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",Poprawka 4,247,8,Drugie czytanie projektu ustawy o zmianie ustawy – Kodeks postępowania karnego oraz niektórych innych ustaw
14 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,239.html","Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",Przyjęcie projektu wraz z poprawkami,239,9,Drugie czytanie projektu ustawy o zmianie ustawy – Kodeks postępowania karnego oraz niektórych innych ustaw
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,249.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 1,249,1,"Ustawa o zmianie ustawy o godle, barwach i hymnie Rzeczypospolitej Polskiej oraz o pieczęciach państwowych oraz ustawy o sporcie"
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,250.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 2,250,2,"Ustawa o zmianie ustawy o godle, barwach i hymnie Rzeczypospolitej Polskiej oraz o pieczęciach państwowych oraz ustawy o sporcie"
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,251.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 3,251,3,"Ustawa o zmianie ustawy o godle, barwach i hymnie Rzeczypospolitej Polskiej oraz o pieczęciach państwowych oraz ustawy o sporcie"
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,252.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 4,252,4,"Ustawa o zmianie ustawy o godle, barwach i hymnie Rzeczypospolitej Polskiej oraz o pieczęciach państwowych oraz ustawy o sporcie"
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,253.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Przyjęcie ustawy wraz z poprawkami,253,5,"Ustawa o zmianie ustawy o godle, barwach i hymnie Rzeczypospolitej Polskiej oraz o pieczęciach państwowych oraz ustawy o sporcie"
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,254.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Wniosek o przyjęcie ustawy bez poprawek,254,6,"Ustawa o ratyfikacji Umowy między Rzecząpospolitą Polską a Republiką Czeską w sprawie unikania podwójnego opodatkowania i zapobiegania uchylaniu się od opodatkowania w zakresie podatków od dochodu, sporządzonej w Warszawie dnia 13 września 2011 r."
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,255.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 1,255,7,Ustawa o zmianie ustawy o drogach publicznych oraz niektórych innych ustaw
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,256.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 2,256,8,Ustawa o zmianie ustawy o drogach publicznych oraz niektórych innych ustaw
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,257.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 3,257,9,Ustawa o zmianie ustawy o drogach publicznych oraz niektórych innych ustaw
