No. of voting,Title,Subscript,Link,voting_id,Session,Dates
1,"Powołanie Komisji Regulaminowej, Etyki i Spraw Senatorskich.",Wniosek o podjęcie uchwały,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,25.html",25,"Posiedzenie: 2. posiedzenie Senatu RP VIII kadencji, 1 dzień",17 listopada 2011 r.
2,Powołanie stałych komisji senackich.,Wniosek o podjęcie uchwały,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,24.html",24,"Posiedzenie: 2. posiedzenie Senatu RP VIII kadencji, 1 dzień",17 listopada 2011 r.
1,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,2.html",2,"Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień","20, 21 i 22 grudnia 2011 r."
2,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej,Poprawka 1,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1.html",1,"Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień","20, 21 i 22 grudnia 2011 r."
3,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej,"Poprawka 2, 5","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4.html",4,"Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień","20, 21 i 22 grudnia 2011 r."
4,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej,Poprawka 3,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,5.html",5,"Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień","20, 21 i 22 grudnia 2011 r."
5,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej,Poprawka 4,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,6.html",6,"Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień","20, 21 i 22 grudnia 2011 r."
6,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej,Poprawka 6,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7.html",7,"Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień","20, 21 i 22 grudnia 2011 r."
7,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej,Poprawka 7,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8.html",8,"Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień","20, 21 i 22 grudnia 2011 r."
8,Ustawa o zmianie niektórych ustaw związanych z realizacją ustawy budżetowej,Poprawka 9,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,9.html",9,"Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 1 dzień","20, 21 i 22 grudnia 2011 r."
